Datetime,Total KW,Hole Depth (ft),Bit Position (ft),Flow In Rate (galUS/min),Pump Pressure (psi),Hook Load (klb),Bit Weight (klb)
2023-03-04 11:50:00+00:00,1177.472427,188.896089,188.925266,659.516901,1024.260132,56.3143681,7.39216211
2023-03-04 11:50:10+00:00,1206.253207,190.34839,190.377206,659.88745,1062.31709,53.0394407,9.7482758
2023-03-04 11:50:20+00:00,1213.759845,191.725036,191.749006,659.88745,1064.94697,48.7675683,13.3379748
2023-03-04 11:50:30+00:00,1193.205838,192.894584,192.921776,659.88745,1012.482843,53.4918967,11.81172196
2023-03-04 11:50:40+00:00,1189.446364,194.336261,194.365399,659.88745,950.309324,55.34053,7.3417238
2023-03-04 11:50:50+00:00,1218.692462,195.752758,195.780967,659.770961,1099.891875,52.408353,11.215546
2023-03-04 11:51:00+00:00,1174.914409,197.197048,197.226107,659.887445,1024.35959,55.67054,7.72062611
2023-03-04 11:51:10+00:00,1171.163552,198.653249,198.682511,659.88745,1036.82824,54.1978344,9.0655607
2023-03-04 11:51:20+00:00,1143.895671,200.109449,200.138644,659.88745,980.64187,55.718387,7.76388665
2023-03-04 11:51:30+00:00,1139.015987,201.565683,201.594849,659.88745,951.203531,56.1004167,7.09133987
2023-03-04 11:51:40+00:00,1162.663497,203.019607,203.04858,659.88745,1015.605281,52.8728953,9.8154745
2023-03-04 11:51:50+00:00,1177.594296,204.454799,204.482605,659.88745,1074.44672,52.1280782,11.3202758
2023-03-04 11:52:00+00:00,1179.306617,205.922549,205.922549,659.88745,1060.0983,52.3599587,11.0406943
2023-03-04 11:52:10+00:00,1168.184532,207.37585,207.37585,659.88745,1014.915125,53.3024207,10.15424485
2023-03-04 11:52:20+00:00,1185.061542,208.858874,208.858874,659.88745,977.774692,54.5363944,8.87749026
2023-03-04 11:52:30+00:00,1162.041842,210.317043,210.317043,659.88745,966.020188,54.5582004,8.73689635
2023-03-04 11:52:40+00:00,1185.099703,211.773308,211.773308,659.88745,1022.736606,53.4014817,9.9496751
2023-03-04 11:52:50+00:00,1204.856022,213.192416,213.192416,659.88745,1050.13084,51.5690717,11.57510895
2023-03-04 11:53:00+00:00,1172.904186,214.007299,213.456257,660.460805,882.955242,62.5692205,2.038600526
2023-03-04 11:53:10+00:00,1242.175018,214.09335,204.491669,659.895298,726.985688,66.5902324,-3.24524371
2023-03-04 11:53:20+00:00,1247.928712,214.09335,190.436078,659.88745,723.236294,67.0218245,-3.62167384
2023-03-04 11:53:30+00:00,1077.164392,214.09335,179.460783,659.88745,724.094052,68.3933244,-4.90419964
2023-03-04 11:53:40+00:00,1169.320745,214.09335,174.554054,659.88745,716.291177,67.3753451,-4.13614835
2023-03-04 11:53:50+00:00,1233.448461,214.09335,162.955478,659.88745,713.354518,67.31027,-4.00935658
2023-03-04 11:54:00+00:00,1202.584831,214.09335,150.063712,659.88745,707.531169,67.7508574,-4.29944397
2023-03-04 11:54:10+00:00,944.6767835,214.09335,149.683226,659.88745,712.567489,71.9873545,-8.26203545
2023-03-04 11:54:20+00:00,962.078202,214.09335,161.863919,659.88745,705.787543,71.8138852,-8.4065764
2023-03-04 11:54:30+00:00,985.5952223,214.09335,173.616036,659.88745,717.919908,71.7323893,-8.3514078
2023-03-04 11:54:40+00:00,966.5331947,214.09335,185.409664,659.88745,718.969191,71.702458,-8.3065162
2023-03-04 11:54:50+00:00,959.2247489,214.09335,199.008655,659.88745,720.944215,71.7497605,-8.41389915
2023-03-04 11:55:00+00:00,851.5319437,214.09335,209.155482,651.67691,697.471584,70.5230944,-7.27195512
2023-03-04 11:55:10+00:00,702.96255,214.09335,211.93668,425.928067,333.758466,58.9407416,1.23385941
2023-03-04 11:55:20+00:00,637.792179,214.09335,212.37143,131.6948947,71.410484,42.5329846,20.9163698
2023-03-04 11:55:30+00:00,652.422614,214.09335,212.37143,25.0571382,41.3144146,42.3481791,20.9113141
2023-03-04 11:55:40+00:00,650.834624,214.09335,212.37143,3.653060153,45.3420419,42.0274446,21.3121159
2023-03-04 11:55:50+00:00,737.904485,214.09335,212.37143,2.72e-05,48.6507425,44.490618,18.9075933
2023-03-04 11:56:00+00:00,1245.311606,214.09335,212.37143,0.0,50.145666,44.5216043,19.0124213
2023-03-04 11:56:10+00:00,740.2384573,214.09335,212.37143,0.0,50.6999293,45.7144088,17.8603489
2023-03-04 11:56:20+00:00,615.655106,214.09335,212.37143,0.0,51.199368,47.3265458,15.9508018
2023-03-04 11:56:30+00:00,637.605067,214.09335,212.37143,0.0,51.5250547,46.9701553,16.4673743
2023-03-04 11:56:40+00:00,1353.427874,214.09335,212.37143,0.0,51.5253217,45.1428017,17.5835308
2023-03-04 11:56:50+00:00,1781.252076,214.09335,212.37143,0.0,51.51029,41.7265741,21.6942119
2023-03-04 11:57:00+00:00,1797.301033,214.09335,212.37143,0.0,51.60878033,43.81113656,19.91596378
2023-03-04 11:57:10+00:00,1081.239002,214.09335,212.37143,0.0,51.6049382,44.1457574,18.9951707
2023-03-04 11:57:20+00:00,590.887386,214.09335,212.37143,0.0,52.0354482,41.6098941,21.4687051
2023-03-04 11:57:30+00:00,610.56369,214.09335,212.37143,0.0,51.723554,40.6012854,22.7619752
2023-03-04 11:57:40+00:00,589.743787,214.09335,212.37143,0.0,43.2683894,40.3327288,22.947948
2023-03-04 11:57:50+00:00,574.810526,214.09335,212.37143,0.0,25.6903274,39.9573384,23.3611261
2023-03-04 11:58:00+00:00,586.530877,214.09335,212.209799,0.0,30.3556553,48.5401803,17.60317065
2023-03-04 11:58:10+00:00,538.588351,213.841287,210.981329,0.0,31.197125,71.1595499,-7.67606757
2023-03-04 11:58:20+00:00,568.79586,213.8402,210.95476,0.0,30.985844,71.1915154,-7.8688664
2023-03-04 11:58:30+00:00,576.030447,213.8402,210.95476,0.0,30.6781089,71.1797596,-7.85870328
2023-03-04 11:58:40+00:00,562.760267,213.8402,210.95476,0.0,30.3836021,71.2002494,-7.86972687
2023-03-04 11:58:50+00:00,563.688441,213.8402,210.95476,0.0,30.277977,71.203585,-7.86276359
2023-03-04 11:59:00+00:00,560.101307,213.8402,210.95476,0.0,30.1974913,71.139516,-7.82485852
2023-03-04 11:59:10+00:00,562.70241,213.8402,210.95476,0.0,29.853697,71.1230672,-7.78797918
2023-03-04 11:59:20+00:00,547.94272,213.8402,210.95476,0.0,29.853697,71.180933,-7.81498277
2023-03-04 11:59:30+00:00,555.024663,213.8402,210.95476,0.0,29.853697,71.2058114,-7.8670595
2023-03-04 11:59:40+00:00,556.238429,213.8402,210.95476,0.0,29.5328168,71.2235064,-7.88918696
2023-03-04 11:59:50+00:00,570.13765,213.8402,210.95476,0.0,29.3064,71.1858971,-7.85903968
2023-03-04 12:00:00+00:00,563.609657,213.8402,210.95476,0.0,29.3064,71.1446014,-7.81947298
2023-03-04 12:00:10+00:00,578.15146,213.8402,210.95476,0.0,29.3064,71.1220671,-7.78996449
2023-03-04 12:00:20+00:00,590.093391,213.8402,210.95476,0.0,28.8786066,71.042649,-7.72432276
2023-03-04 12:00:30+00:00,590.186947,213.8402,210.95476,5.8062103,29.9976626,70.9529979,-7.6172382
2023-03-04 12:00:40+00:00,653.185834,213.8402,210.95476,180.094612,41.7742467,70.91097,-7.5768517
2023-03-04 12:00:50+00:00,791.896145,213.8402,210.95476,391.284368,269.8727286,70.6505059,-7.38934016
2023-03-04 12:01:00+00:00,962.8401873,213.8402,210.95476,591.140295,676.673284,70.4809182,-7.15463942
2023-03-04 12:01:10+00:00,1014.339072,213.8402,210.95476,659.867583,758.855179,70.472991,-7.138494
2023-03-04 12:01:20+00:00,996.801019,213.8402,211.795907,659.88745,771.146437,72.0069821,-4.254142834
2023-03-04 12:01:30+00:00,1030.968653,214.189878,213.970671,659.88745,776.537285,71.2423298,0.62299143
2023-03-04 12:01:40+00:00,1132.180244,215.694704,215.694704,659.422273,993.716238,59.5264437,12.42430575
2023-03-04 12:01:50+00:00,1078.999811,217.060149,217.060149,659.88745,976.798351,59.7221187,12.46207615
2023-03-04 12:02:00+00:00,1113.563833,218.36941,218.36941,659.88745,1089.434368,57.9338393,14.06428745
2023-03-04 12:02:10+00:00,1140.260527,219.557822,219.557822,659.88745,1124.16499,57.1743157,15.09165655
2023-03-04 12:02:20+00:00,1132.889299,220.762507,220.762507,659.88745,1062.92081,58.0741973,14.241398
2023-03-04 12:02:30+00:00,1109.892989,222.015662,222.015662,659.88745,1044.48593,58.1055599,14.01692
2023-03-04 12:02:40+00:00,1089.856008,223.259589,223.259589,659.88745,1017.563537,58.7445837,13.75005005
2023-03-04 12:02:50+00:00,1098.017536,224.577898,224.577898,659.421453,1008.115492,59.5186102,12.6991764
2023-03-04 12:03:00+00:00,1101.351084,225.897879,225.897879,659.887445,980.082097,58.8347447,13.3719124
2023-03-04 12:03:10+00:00,1143.914136,227.152953,227.152953,659.88745,1019.549591,57.7927383,14.3748945
2023-03-04 12:03:20+00:00,1166.207546,228.356569,228.356569,659.88745,1049.05561,57.4270942,14.8044285
2023-03-04 12:03:30+00:00,1126.806931,229.550004,229.550004,659.88745,1088.70506,57.1469535,15.1243518
2023-03-04 12:03:40+00:00,1082.357983,230.77122,230.77122,659.88745,1034.820678,58.6106513,13.8588958
2023-03-04 12:03:50+00:00,1082.340743,232.084821,232.084821,659.88745,1005.891307,59.5635073,12.8416509
2023-03-04 12:04:00+00:00,1072.181304,233.430025,233.430025,659.88745,993.163443,59.6997185,12.5548825
2023-03-04 12:04:10+00:00,1097.048735,234.751483,234.751483,659.88745,1023.340053,58.1105044,13.8227541
