time,torque,rotary_speed,ROP,bottom_rotary_speed_filtered,block_position,weight_on_hook,weight_on_bit,SPP,fluid_flow,Total pump stoke,total_pit_volume,heave_bit_depth,hole_depth_filtered,choke_pressure_filtered,kill_pressure_filtered,trip_tank_volume,inclination_filtered
2021-05-09 09:23:00,0.0,0.0,0.0,0.0,41.28,290.834,0.0,73.0,299.57,17.0,541.3,1862.9,1865.63,8.78,25.04,13.27,0.0
2021-05-09 09:23:10,0.0,0.0,0.0,0.0,41.21,293.284,0.0,67.0,300.63,58.0,539.92,1862.96,1865.63,8.16,24.48,13.33,0.0
2021-05-09 09:23:20,0.0,0.0,0.0,0.0,40.98,295.258,0.0,66.0,300.1,60.0,538.41,1863.17,1865.63,8.16,24.48,13.33,0.0
2021-05-09 09:23:30,184.39,0.0,0.0,0.0,40.81,296.132,0.0,65.0,300.1,60.0,537.15,1863.37,1865.63,8.78,24.48,13.27,0.0
2021-05-09 09:23:40,179.23,0.0,0.0,0.0,40.81,295.93,0.0,65.0,298.25,60.0,535.77,1863.54,1865.63,8.78,25.04,13.33,0.0
2021-05-09 09:23:50,184.39,0.0,0.0,0.0,40.92,295.51,0.0,116.0,301.16,60.0,534.19,1863.28,1865.63,8.16,24.48,13.27,0.0
2021-05-09 09:24:00,184.39,0.0,0.0,0.0,41.14,292.59,0.0,173.0,297.72,60.0,533.19,1863.03,1865.63,7.59,24.48,13.27,0.0
2021-05-09 09:24:10,184.39,0.0,0.0,0.0,41.05,295.842,0.0,185.0,297.19,60.0,531.61,1863.13,1865.63,8.78,25.04,13.27,0.0
2021-05-09 09:24:20,184.39,0.0,0.0,0.0,40.97,295.71,0.0,511.0,580.39,60.0,530.04,1863.13,1865.63,8.78,25.04,13.27,0.0
2021-05-09 09:24:30,174.8,0.0,0.0,0.0,41.29,290.27,0.0,979.0,684.47,108.0,528.66,1862.89,1865.63,8.78,23.91,13.27,0.0
2021-05-09 09:24:40,174.8,0.0,0.0,0.0,41.43,288.216,0.0,1044.0,699.0,136.0,526.71,1862.75,1865.63,8.78,25.04,13.27,0.0
2021-05-09 09:24:50,174.8,0.0,0.0,0.0,41.45,288.934,0.0,1059.0,699.0,139.0,522.62,1862.71,1865.63,9.35,24.48,13.33,0.0
2021-05-09 09:25:00,179.23,0.0,0.0,0.0,41.39,290.43,0.0,1081.0,697.41,138.0,519.6,1862.82,1865.63,8.78,24.48,13.33,0.0
2021-05-09 09:25:10,165.21,0.0,0.0,0.0,41.47,289.668,0.0,1146.0,697.41,138.0,516.46,1862.62,1865.63,8.78,24.48,13.27,0.0
2021-05-09 09:25:20,179.23,0.0,0.0,0.0,41.07,294.124,0.0,1160.0,700.85,138.0,513.5,1862.88,1865.63,8.78,25.04,13.27,0.0
2021-05-09 09:25:30,179.23,0.0,0.0,0.0,40.95,294.806,0.0,1153.0,696.89,138.0,513.5,1863.24,1865.63,8.78,25.04,13.27,0.0
2021-05-09 09:25:40,169.64,0.0,0.0,0.0,40.94,294.632,0.0,1160.0,698.47,138.0,508.09,1863.24,1865.63,8.78,25.04,13.33,0.0
2021-05-09 09:25:50,174.8,0.0,0.0,0.0,41.04,292.59,0.0,1160.0,701.91,138.0,504.88,1863.16,1865.63,8.78,25.04,13.33,0.0
2021-05-09 09:26:00,179.23,0.0,0.0,0.0,41.06,291.182,0.0,1160.0,697.41,139.0,501.49,1863.16,1865.63,8.78,24.48,13.33,0.0
2021-05-09 09:26:10,179.23,0.0,0.0,0.0,40.93,295.476,0.0,1160.0,696.89,140.0,499.47,1863.25,1865.63,8.78,24.48,13.33,0.0
2021-05-09 09:26:20,188.82,0.0,0.0,0.0,40.77,298.552,0.0,1175.0,702.43,138.0,497.4,1863.0,1865.63,8.78,25.04,13.33,0.0
2021-05-09 09:26:30,179.23,0.0,0.0,0.0,41.06,293.084,0.0,1175.0,701.91,139.0,494.19,1862.75,1865.63,8.16,24.48,13.27,0.0
2021-05-09 09:26:40,127.6,0.0,0.0,0.0,41.19,291.462,0.0,1168.0,697.94,138.0,492.3,1862.99,1865.63,9.35,25.61,13.27,0.0
2021-05-09 09:26:50,122.44,0.0,0.0,0.0,41.06,291.944,0.0,1168.0,699.79,139.0,490.1,1863.13,1865.63,8.78,23.91,13.27,0.0
2021-05-09 09:27:00,137.19,0.0,0.0,0.0,41.5,285.302,2.75,1168.0,700.32,138.0,489.16,1862.67,1865.63,9.35,25.04,13.33,0.0
2021-05-09 09:27:10,137.19,0.0,0.0,0.0,41.74,284.866,3.19,1168.0,701.38,139.0,487.33,1862.44,1865.63,8.78,25.61,13.27,0.0
2021-05-09 09:27:20,137.19,0.0,0.0,0.0,41.45,289.972,3.19,1168.0,701.38,139.0,485.38,1862.77,1865.63,8.78,24.48,13.27,0.0
2021-05-09 09:27:30,0.0,0.0,0.0,0.0,41.1,294.022,3.19,1160.0,700.85,138.0,481.17,1863.08,1865.63,8.16,25.04,13.33,0.0
2021-05-09 09:27:40,0.0,0.0,0.0,0.0,40.9,295.626,3.19,1160.0,700.32,138.0,479.72,1863.28,1865.63,8.78,25.04,13.27,0.0
2021-05-09 09:27:50,0.0,0.0,0.0,0.0,40.66,298.668,3.19,1153.0,697.94,139.0,475.64,1863.76,1865.63,8.16,24.48,13.33,0.0
2021-05-09 09:28:00,0.0,0.0,0.0,0.0,41.07,292.574,3.19,341.0,288.74,120.0,472.11,1863.1,1865.63,8.78,24.48,13.27,0.0
2021-05-09 09:28:10,0.0,0.0,0.0,0.0,41.03,294.832,3.19,109.0,222.96,77.0,470.79,1863.15,1865.63,8.78,24.48,13.33,0.0
2021-05-09 09:28:20,0.0,0.0,0.0,0.0,41.02,295.592,3.19,63.0,103.03,45.0,469.6,1863.15,1865.63,8.16,23.91,13.27,0.0
2021-05-09 09:28:30,0.0,0.0,0.0,0.0,41.02,295.856,3.19,62.0,103.56,19.0,469.16,1863.32,1865.63,8.78,23.91,13.33,0.0
2021-05-09 09:28:40,0.0,0.0,0.0,0.0,41.02,292.62,3.19,59.0,103.03,21.0,469.53,1863.16,1865.63,8.78,24.48,13.33,0.0
2021-05-09 09:28:50,0.0,0.0,0.0,0.0,41.2,289.356,3.19,61.0,102.5,21.0,470.04,1863.07,1865.63,8.16,25.04,13.33,0.0
2021-05-09 09:29:00,255.2,0.0,0.0,0.0,41.02,296.282,3.19,72.0,356.37,21.0,470.48,1863.24,1865.63,8.16,24.48,13.33,0.0
2021-05-09 09:29:10,216.84,0.0,0.0,0.0,40.79,299.878,3.19,674.0,632.69,57.0,470.6,1863.38,1865.63,8.78,24.48,13.27,0.0
2021-05-09 09:29:20,216.84,0.0,0.0,0.0,41.08,290.778,3.19,1008.0,700.85,105.0,470.86,1863.1,1865.63,8.16,23.91,13.27,0.0
2021-05-09 09:29:30,222.01,0.0,0.0,0.0,41.13,289.776,3.19,1044.0,700.85,139.0,470.04,1863.06,1865.63,8.78,24.48,13.33,0.0
2021-05-09 09:29:40,222.01,0.0,0.0,0.0,40.96,294.876,3.19,1044.0,699.79,139.0,469.16,1863.21,1865.63,8.16,25.04,13.33,0.0
2021-05-09 09:29:50,193.24,0.0,0.0,0.0,40.98,295.31,3.19,1081.0,699.0,139.0,467.46,1863.15,1865.63,8.78,25.04,13.27,0.0
2021-05-09 09:30:00,174.8,0.0,0.0,0.0,40.76,297.09,3.19,1131.0,701.38,138.0,465.76,1863.35,1865.63,8.78,25.04,13.27,0.0
2021-05-09 09:30:10,165.21,0.0,0.0,0.0,40.78,297.908,3.19,1146.0,696.89,139.0,464.38,1863.32,1865.63,8.16,25.04,13.27,0.0
2021-05-09 09:30:20,179.23,0.0,0.0,0.0,41.21,292.792,3.19,1160.0,700.85,139.0,463.12,1862.88,1865.63,8.78,24.48,13.33,0.0
2021-05-09 09:30:30,174.8,0.0,0.0,0.0,41.15,294.836,3.19,1160.0,700.32,139.0,461.23,1862.92,1865.63,8.16,25.04,13.27,0.0
2021-05-09 09:30:40,184.39,0.0,0.0,0.0,40.92,298.324,0.0,1160.0,699.79,138.0,459.03,1863.12,1865.63,8.16,25.04,13.33,0.0
2021-05-09 09:30:50,184.39,0.0,0.0,0.0,40.83,298.212,0.0,1168.0,697.94,139.0,457.71,1863.1,1865.63,8.16,24.48,13.33,0.0
2021-05-09 09:31:00,169.64,0.0,0.0,0.0,41.04,294.606,0.0,1153.0,698.47,139.0,451.92,1863.18,1865.63,8.16,24.48,13.33,0.0
2021-05-09 09:31:10,169.64,0.0,0.0,0.0,41.12,294.328,0.0,1160.0,698.47,138.0,449.6,1863.06,1865.63,8.16,25.04,13.33,0.0
2021-05-09 09:31:20,174.8,0.0,0.0,0.0,41.05,294.782,0.0,1160.0,696.89,138.0,447.52,1863.41,1865.63,8.78,25.04,13.33,0.0
2021-05-09 09:31:30,169.64,0.0,0.0,0.0,41.05,294.622,0.0,1160.0,701.38,138.0,445.88,1863.13,1865.63,8.78,24.48,13.27,0.0
2021-05-09 09:31:40,141.61,0.0,0.0,0.0,41.05,295.074,0.0,1153.0,697.94,139.0,444.31,1863.13,1865.63,8.78,24.48,13.33,0.0
2021-05-09 09:31:50,155.63,0.0,0.0,0.0,41.04,294.812,0.0,1153.0,700.32,139.0,443.31,1863.13,1865.63,8.16,24.48,13.33,0.0
2021-05-09 09:32:00,151.2,0.0,0.0,0.0,40.66,297.184,0.0,1160.0,699.0,139.0,442.74,1863.34,1865.63,8.78,24.48,13.27,0.0
2021-05-09 09:32:10,141.61,0.0,0.0,0.0,40.93,294.984,0.0,1160.0,696.89,138.0,442.17,1863.24,1865.63,8.16,25.04,13.33,0.0
2021-05-09 09:32:20,155.63,0.0,0.0,0.0,41.09,294.698,0.0,1160.0,700.32,138.0,440.85,1863.09,1865.63,8.16,24.48,13.33,0.0
2021-05-09 09:32:30,151.2,0.0,0.0,0.0,41.53,287.328,0.72,1160.0,698.47,139.0,440.41,1862.83,1865.63,8.78,24.48,13.33,0.0
2021-05-09 09:32:40,151.2,0.0,0.0,0.0,41.42,288.874,0.72,1146.0,697.94,139.0,439.72,1862.76,1865.63,9.35,25.04,13.33,0.0
2021-05-09 09:32:50,0.0,0.0,0.0,0.0,40.89,294.698,0.72,1153.0,699.79,138.0,438.34,1863.28,1865.63,8.78,24.48,13.27,0.0
